id,price
0,2038.332020139382
1,12595.227544229665
2,12595.227544229665
3,13972.88515717997
4,11013.521287138195
5,12884.31317457125
6,11155.692340840398
7,13435.448718606376
8,10901.536638516089
9,12510.175919120518
10,13435.448718606376
11,12737.87945486039
12,10901.536638516089
13,10901.536638516089
14,12728.291387413634
15,10901.536638516089
16,10901.536638516089
17,10901.536638516089
18,10901.536638516089
19,14159.964929391255
20,13435.448718606376
21,13435.448718606376
22,10901.536638516089
23,11196.693907710454
24,12510.175919120518
25,11383.910762424703
26,12097.42107643105
27,11060.379997984424
28,12668.87320337455
29,11679.71487616421
30,10901.536638516089
31,10901.536638516089
32,11013.521287138195
33,10901.536638516089
34,13937.512311625127
35,10901.536638516089
36,11873.909752153379
37,10901.536638516089
38,12526.615989889377
39,12668.87320337455
40,11209.718256725942
41,10901.536638516089
42,10901.536638516089
43,11157.011578022053
44,10901.536638516089
45,11155.692340840398
46,10901.536638516089
47,10883.24372419783
48,11209.718256725942
49,10901.536638516089
50,11060.050675542174
51,10901.536638516089
52,11157.011578022053
53,10901.536638516089
54,10901.536638516089
55,10901.536638516089
56,11095.972085261752
57,12780.859046095176
58,10798.624463443564
59,10901.536638516089
60,10901.536638516089
61,10901.536638516089
62,12780.859046095176
63,10901.536638516089
64,10901.536638516089
65,11121.4611754795
66,12884.31317457125
67,12884.31317457125
68,12595.227544229665
69,11209.718256725942
70,10901.536638516089
71,10901.536638516089
72,12845.708142616679
73,11121.4611754795
74,10901.536638516089
75,10901.536638516089
76,10901.536638516089
77,10901.536638516089
78,10901.536638516089
79,10901.536638516089
80,10901.536638516089
81,10901.536638516089
82,12595.227544229665
83,10901.536638516089
84,12672.555837606897
85,11013.521287138195
86,11196.693907710454
87,11060.050675542174
88,10901.536638516089
89,10901.536638516089
90,12728.291387413634
91,13962.450251931863
92,10901.536638516089
93,14795.408961897052
94,10901.536638516089
95,10901.536638516089
96,10901.536638516089
97,11155.692340840398
98,12668.87320337455
99,12728.291387413634
100,11160.582789083088
101,10901.536638516089
102,12595.227544229665
103,11157.011578022053
104,12728.291387413634
105,10901.536638516089
106,12526.615989889377
107,12844.388905435024
108,12595.227544229665
109,10901.536638516089
110,10901.536638516089
111,13435.448718606376
112,12728.291387413634
113,11013.521287138195
114,10901.536638516089
115,13699.294227389884
116,14067.473933883057
117,12595.227544229665
118,14067.473933883057
119,12595.227544229665
120,11157.011578022053
121,12510.175919120518
122,11013.521287138195
123,12526.615989889377
124,12595.227544229665
125,12796.743502294305
126,10901.536638516089
127,10901.536638516089
128,11074.037452617406
129,10901.536638516089
130,13435.448718606376
131,10901.536638516089
132,12799.28995479772
133,10901.536638516089
134,11155.692340840398
135,10901.536638516089
